artist,song,album,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,origin
Fergie,A Little Party Never Killed Nobody (All We Got),Music From Baz Luhrmann's Film The Great Gatsby (Deluxe Edition),1mz9ZrRYu3EPVg9ZHFtjjf,0.763,0.653,5,-5.05,0,0.149,0.00876,5.46e-06,0.0854,0.477,130.025,240907,4,0
Rihanna,We Found Love,Talk That Talk,1gYMxXXGANfGIGXDFf9Czv,0.75,0.756,1,-4.45,1,0.0426,0.0187,0.00125,0.196,0.6,127.992,215227,4,0
Bastille,Pompeii,All This Bad Blood,0sooJd5WbNnnz5k6yO7FIQ,0.682,0.714,9,-6.306,1,0.0399,0.074,0.0,0.278,0.581,127.443,214148,4,0
Kesha,Die Young,Warrior (Deluxe Version),6mnjcTmK8TewHfyOp3fC9C,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4,0
Kesha,Hymn,Hymn,0wJJhRgdHhT93Z3iWdMB0T,0.488,0.538,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.037,205600,4,0
Ellie Goulding,Burn,Halcyon Days,2GgxS8bUT5G25QJTsfSv0R,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,231212,4,0
Martin Garrix,Animals - Extended,Animals (Extended),28GieRAflAHypFfEimSaxa,0.673,0.853,1,-6.451,1,0.038,0.00171,0.724,0.39,0.0382,128.015,303827,4,0
Capital Cities,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),6BnONjR7itGMEqwxKTIlRM,0.653,0.822,0,-4.857,1,0.033,0.00021,0.0047,0.0838,0.762,117.949,192790,5,0
Avicii,Levels - Radio Edit,Levels,0JhKJg5ejeQ8jq89UQtnw8,0.62,0.881,1,-5.851,0,0.0372,0.0585,0.714,0.311,0.415,126.035,199904,4,0
David Guetta,Titanium (feat. Sia),Nothing but the Beat (Ultimate Edition),0TDLuuLlV54CkRRUOahJb4,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,4,0
Clean Bandit,Rather Be (feat. Jess Glynne),I Cry When I Laugh,5HuqzFfq2ulY1iBAW5CxLe,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,4,0
Martin Solveig,Hey Now (feat. Kyle) - Single Mix,Hey Now (feat. Kyle),4jay2G7QI61dlPd8qKy5BP,0.712,0.957,0,-1.923,1,0.0793,0.00552,1.77e-06,0.103,0.703,128.039,187507,4,0
Armin van Buuren,This Is What It Feels Like,Intense,5GjnIpUlLGEIYk052ISOw9,0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,204360,5,0
Bruno Mars,Treasure,Unorthodox Jukebox,55h7vJchibLdUkxdlX3fK7,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,178560,4,0
Calvin Harris,I Need Your Love,Halcyon,1mATmqAUKqG57iWjGE1nRa,0.692,0.865,8,-4.939,1,0.0548,0.385,0.0,0.106,0.62,124.987,234809,4,0
Pitbull,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),3tgZ9vmhuAY9wEoNUJskzV,0.589,0.966,11,-4.106,1,0.0972,0.03,0.0,0.147,0.802,129.983,204200,4,0
Jason Derulo,The Other Side,Tattoos (Special Edition),4ot2lykiAQeZC1GAnNQNJ4,0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923,226987,4,0
Icona Pop,All Night,THIS IS... ICONA POP,15iosIuxC3C53BgsM5Uggs,0.6,0.905,1,-3.41,0,0.0357,0.00274,0.0,0.831,0.636,124.032,187027,4,0
Flo Rida,Right Round,R.O.O.T.S. (Route of Overcoming the Struggle),3GpbwCm3YxiWDvy29Uo3vP,0.72,0.672,7,-6.852,1,0.0551,0.009,0.0,0.232,0.705,124.986,204640,4,0
Lorde,Royals,Pure Heroine,3yvZ1VUso9Xi7EvIyLaj4o,0.636,0.436,7,-9.524,1,0.139,0.112,0.0,0.135,0.331,84.804,190185,4,0
Lucenzo,Danza Kuduro,Emigrante Del Mundo,1Ozm60BmF5AUjqVSb9FJRC,0.696,0.896,0,-6.049,1,0.109,0.0834,0.0,0.038,0.887,130.091,199333,4,0
Arash,She Makes Me Go - Radio Edit,She Makes Me Go,1a5XzsdDDWR7HMwvmXtNlB,0.705,0.897,2,-2.988,0,0.035,0.0783,3.24e-06,0.202,0.534,133.013,178280,4,0
Ariana Grande,Problem,My Everything (Deluxe),6xCNYRfzZtoQRo1xruPmNq,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009,193920,4,0
Lady Gaga,Applause,ARTPOP,2Zj4FUsMtu9PMuJsHbGbdv,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333,4,0
Calvin Harris,Sweet Nothing (feat. Florence Welch),18 Months,24LS4lQShWyixJ0ZrJXfJ5,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,4,0
Bruno Mars,Locked out of Heaven,Unorthodox Jukebox,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4,0
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],Nothing but the Beat (Ultimate Edition),1SgdUjvppHnIp6L7DZSnwc,0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,222500,4,0
Icona Pop,I Love It (feat. Charli XCX),THIS IS... ICONA POP,1rhXXcrYp9RRObN5gsmqCU,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,4,0
Olly Murs,Troublemaker (feat. Flo Rida),Right Place Right Time (Special Edition),3raIDwS1IWxjBq48cE4E8h,0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008,185587,4,0
PSY,Gangnam Style,Gangnam Style,1PKnaWkakd5CBjNv8NyaSK,0.725,0.937,11,-2.881,0,0.278,0.00425,0.0,0.0914,0.758,132.084,219493,4,0
Passenger,Let Her Go,All The Little Lights,7DFNE7NO0raLIUbgzY2rzm,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089,252867,4,0
Asaf Avidan & the Mojos,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],3gNNXc7GUgKRPR15W77eDR,0.821,0.676,3,-6.366,0,0.0547,0.187,0.0001,0.0904,0.559,119.012,213187,4,0
Calvin Harris,Feel So Close - Radio Edit,18 Months,1gihuPhrLraKYrJMAEONyc,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4,0
OneRepublic,Counting Stars,Native,6sy3LkhNFjJWlaeSMNwQ62,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,257840,4,0
Bingo Players,Get Up (Rattle) - Vocal Edit,Get Up (Rattle),4W9KBjqf2lyUF6MdX0vsJm,0.801,0.985,7,-2.69,1,0.0645,0.0205,6.86e-06,0.296,0.722,127.99,166933,4,0
Bruno Mars,When I Was Your Man,Unorthodox Jukebox,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4,0
Kesha,Crazy Kids,Warrior (Deluxe Version),2Qu4snHWjiF1bIIggf3R8i,0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128.03,230747,4,0
DJ Antoine,Bella Vita - DJ Antoine vs. Mad Mark 2K13 Radio Edit,Sky Is the Limit,6hp3KubrbcERP2g8ude9jR,0.722,0.844,10,-5.015,1,0.16,0.0138,0.0,0.166,0.563,125.038,203820,4,0
James Arthur,Impossible,James Arthur (Deluxe),5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,0
Contiez,Trumpsta - Djuro Remix,Safari Weapons 7,5la4dy8Tc1M6X6BanOHZ2H,0.958,0.539,1,-7.597,1,0.254,0.000723,0.744,0.134,0.211,128.0,258750,4,0
Olly Murs,Dear Darlin',Right Place Right Time (Special Edition),0ZAqidNny4qh1RwM6LjOir,0.514,0.828,11,-4.672,0,0.0454,0.00626,8.73e-06,0.119,0.34,124.008,206373,4,0
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,Clarity (Deluxe),4bT2zLVv2T4GiK9q9KtI0v,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347,4,0
Childish Gambino,Fire Fly,Camp,1Mx97utPpQdM4shyKXLfDp,0.672,0.889,11,-3.902,0,0.224,0.167,0.0,0.314,0.479,87.47,203547,4,0
East 17,It's Alright - The Guvnor Mix,Walthamstow,3PMlBjVjaNHytufQltTaZr,0.612,0.934,5,-4.767,0,0.0417,0.0197,0.0,0.12,0.391,129.941,280961,4,0
The Who,My Generation - Original Mono Version,My Generation (Remastered Mono Version),6UdCTwbVAvNqbWyZKZiRWL,0.332,0.822,0,-6.558,0,0.0988,0.165,9.33e-05,0.161,0.745,96.253,197320,4,0
Sido,Bilder im Kopf,#Beste,3AzVdNe7tCYbjjRzQyVLbN,0.7,0.829,0,-5.418,1,0.202,0.0823,0.0,0.323,0.892,90.048,238560,4,0
Carlprit,Fiesta - Michael Mind Project Video Edit,Fiesta,2JQkq0krSQHMIiLURIum2j,0.544,0.923,6,-5.594,1,0.219,0.0159,0.0,0.336,0.779,128.326,191007,4,0
Sebastian Ingrosso,Reload - Vocal Version / Radio Edit,Reload (Vocal Version / Remixes),2sBWCCylFvS2wEIaW4NTv8,0.487,0.737,4,-4.629,0,0.0513,0.0762,1.12e-06,0.0602,0.404,128.054,221280,4,0
T-Pain,Turn All the Lights On (feat. Ne-Yo),rEVOLVEr (Deluxe Version),5Ue25r0VGvZR7vaw3iB0gZ,0.697,0.807,6,-3.049,0,0.0587,0.0382,0.0,0.471,0.732,127.01,216440,4,0
Mike Candys,Everybody - Radio Edit,Everybody,0BOKPwDkzLW9cmdgPhaXiF,0.76,0.837,5,-2.782,0,0.118,0.11,1.59e-05,0.0615,0.701,127.967,179789,4,0
Marteria,Lila Wolken,Lila Wolken,3CT1nhEnqol4rHIdwD7Rr7,0.543,0.676,1,-6.431,1,0.053,0.185,0.0,0.301,0.166,143.887,228053,4,0
R.I.O.,Summer Jam,Turn This Club Around (Deluxe Edition),0pJV5fExkPQosiiDp4OvUj,0.747,0.716,1,-5.152,0,0.0308,0.0828,7.59e-06,0.0773,0.849,128.001,182657,4,0
ItaloBrothers,This Is Nightlife - Video Edit,This Is Nightlife,0IpiiTfaDSiqpYg9MlBxw4,0.642,0.784,11,-5.286,0,0.032,0.0271,3.03e-05,0.308,0.877,128.004,162000,4,0
DJane HouseKat,All The Time (feat. Rameez) [Radio Version],All The Time (feat. Rameez),6XcUVZGPkR1rPMkXQz5bBk,0.762,0.737,9,-3.904,1,0.167,0.038,0.0,0.063,0.76,130.016,171874,4,0
Remady,Single Ladies - Remady 2K13 Radio Edit,The Original (2K13 Edition),6DCFfWMAUH6hfQiGQ44OPe,0.704,0.811,4,-3.011,0,0.0438,0.00743,0.0,0.27,0.795,128.002,221387,4,0
Bosse,Schönste Zeit,Schönste Zeit,2toXFMUY2drm8KRillUHpA,0.673,0.831,8,-5.178,1,0.0347,0.123,0.0,0.209,0.534,121.0,232320,4,0
Skrillex,Bangarang (feat. Sirah),Bangarang EP,6VRhkROS2SZHGlp0pxndbJ,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026,215253,4,0
DJ Antoine,Sky Is the Limit,Sky Is the Limit,22W1OZtniQZgKQa3wnqZje,0.692,0.712,9,-5.716,0,0.0483,0.0251,0.0,0.0716,0.503,127.981,277799,4,0
Yasha,Strand,Weltraumtourist,6npdnHdsDdRs9wZPMV8kaB,0.653,0.545,6,-8.274,1,0.0475,0.0846,0.000265,0.155,0.465,128.968,211027,4,0
Zedd,Clarity,Clarity,0VGrgE7GbWaINRnh1bR4k9,0.523,0.78,8,-3.378,1,0.0748,0.0376,0.0,0.0751,0.187,128.003,271427,4,0
Kesha,C'Mon,Warrior (Deluxe Version),4lAdOkj9Pj1952EYIKZmxg,0.558,0.781,1,-5.448,0,0.0963,0.00657,0.00144,0.102,0.286,126.025,214333,4,0
Otto Knows,Million Voices,Marathon 2013,3H2Fi9vc0vY61drCvFBa23,0.597,0.719,3,-7.272,1,0.0601,0.00504,0.153,0.0677,0.254,125.972,355545,4,0
DJ Antoine,Ma chérie - DJ Antoine vs Mad Mark 2k12 Radio Edit,Ma Chérie (2k12 Remixes),0bLFr9Lg9cKIMQV9hvHg8m,0.777,0.587,5,-5.023,0,0.183,0.0316,7.12e-05,0.0416,0.857,127.966,191080,4,0
Madcon,One Life (feat. Kelly Rowland) - Radio Edit,Icon,2GL7gMtjLgbttGGCrUqeTd,0.472,0.879,1,-1.723,0,0.0505,0.0698,0.0,0.259,0.403,90.074,210320,4,0
Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah),18 Months,1oHxIPqJyvAYHy0PVrDU98,0.665,0.886,9,-4.175,0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,240347,4,0
Major Lazer,"Watch Out For This (Bumaye) [feat. Busy Signal, The Flexican & FS Green]",Free The Universe,0pDYeia7ZXB8kbCuSc5hKp,0.828,0.755,10,-4.116,0,0.156,0.0202,9.61e-06,0.0625,0.862,108.056,269147,4,0
Y-Titty,Halt dein Maul,Stricksocken Swagger (Deluxe Version 2014),05q207shONzq488RXdV0S1,0.558,0.8,9,-3.776,1,0.173,0.0104,0.0,0.234,0.812,150.068,218093,4,0
Sean Paul,Touch the Sky (feat. DJ Ammo),Tomahawk Technique,16lMe3mw46b7QRqO4eIdCZ,0.793,0.913,5,-5.324,0,0.17,0.00783,0.0761,0.246,0.681,129.99,232533,4,0
Mike Candys,One Night In Ibiza - Radio Mix feat Patrick Miller,On Night In Ibiza,3Z0KOu0VhHD9djitsBx1BR,0.711,0.916,2,-4.493,1,0.0638,0.012,9.79e-06,0.154,0.454,127.006,169355,4,0
La La Land,Not All About The Money (Radio Edit) [feat. Timbaland & Grooya],Not All About The Money (feat. Timbaland & Grooya) - EP,50kj6mfIMyySqjssvapXn3,0.725,0.921,1,-5.498,0,0.0633,0.139,0.0,0.277,0.92,131.608,190494,4,0
Mike Candys feat. Evelyn & Carlprit,Brand New Day - Radio Mix,Brand New Day,0BUI6QztiVlo6GK32zYW5K,0.646,0.892,6,-2.681,0,0.0695,0.0362,0.0,0.176,0.513,127.962,167143,4,0
DJ Antoine,House Party - Radio Edit,House Party,73htmdTpGdBPAhHdpEblRU,0.699,0.915,10,-3.382,0,0.0565,0.0704,0.0,0.169,0.775,127.968,206787,4,0
Kay One,V.I.P. (feat. The Product G&B),Rich Kidz (Gold Edition),5iZVTYv8j4nyaNwlzf0T7H,0.888,0.667,0,-6.374,1,0.124,0.0569,0.0,0.119,0.745,110.042,264284,4,0
Laurent Wery,Hey Hey Hey (Pop Another Bottle) (feat. Swift K.I.D & Dev),Hey Hey Hey [Pop Another Bottle] (feat. Swift K.I.D. & Dev),6ZqZKF6iyaVOFwjk5ILoyq,0.843,0.834,5,-5.427,0,0.119,0.0624,0.0,0.897,0.969,128.025,185649,4,0
R.I.O.,Living in Stereo - Video Edit,Living in Stereo,4cdibe2Gw6OipksnOAZyQF,0.697,0.869,0,-5.155,0,0.162,0.13,0.0,0.306,0.709,127.915,190485,4,0
Tyga,Rack City,Careless World: Rise Of The Last King,21nFIDqoD1L7ELsprVSzOR,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,203200,4,0
Tacabro,Tacatà - Radio Edit,Tacata',62pIfDe2RdhUfYmRWdo9ZJ,0.812,0.857,4,-6.034,1,0.103,0.0083,0.0,0.354,0.651,126.951,210000,4,0
Jack Holiday,The Riddle Anthem - Radio Edit,The Riddle Anthem,1UjgPHpST8aSMvZrMWAH3r,0.653,0.789,6,-5.026,0,0.0312,0.0137,3.09e-05,0.374,0.593,127.013,171533,4,0
Manian,Don't Stop the Dancing - Video Edit,Dance Chart (Autumn 2013),0q1KvQDZEN2JmmmYWXOhtM,0.624,0.951,4,-4.374,1,0.181,0.0199,0.0,0.17,0.595,127.938,184613,4,0
DJ Antoine,Meet Me in Paris - Radio Edit,Sky Is the Limit,7ggU8237ZuzJxy4aVBGnmG,0.729,0.732,10,-4.303,1,0.0517,0.0106,0.0,0.0951,0.547,127.914,200920,4,0
Die Atzen Frauenarzt,Disco Pogo - Atzen Musik Mix,Disco Pogo,3O6xjfDP08rqcfqMD7lnEg,0.654,0.771,11,-4.844,0,0.0928,0.00898,0.0,0.0966,0.286,131.876,204115,4,0
Usher,More - RedOne Jimmy Joker Remix,More,0aBKFfdyOD1Ttvgv0cfjjJ,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083,219987,4,0
R.I.O.,Turn This Club Around (feat. U-Jean) - Video Edit,Turn This Club Around,4CPygBmg8tShp6vHxf9ntz,0.61,0.843,0,-4.894,1,0.0296,0.000118,0.000392,0.373,0.916,127.981,201459,4,0
Laing,Morgens immer müde - Single Version,Morgens immer müde,2ta32gI6EPiCgnrOXnslOm,0.93,0.584,6,-8.688,1,0.0443,0.0197,0.00227,0.102,0.923,130.024,203240,4,0
Remady,Higher Ground - Flamemakers Radio Edit,The Original 2K13 Edition,3TD21S7DgPAsQFsdAOE8zP,0.573,0.817,2,-5.51,1,0.0534,0.0199,0.0,0.69,0.503,128.023,178321,4,0
DJane HouseKat,My Party (Radio Version),My Party,2UT8Re2t44hoUYCKJcOdqn,0.732,0.772,5,-5.779,0,0.241,0.0209,0.00152,0.878,0.573,128.038,180000,4,0
Rico Bernasconi,Ebony Eyes (feat. A-Class & Sean Paul) - Original Edit,Ebony Eyes (feat. A-Class & Sean Paul),7g9UjIFjs7KihId4XgIWQI,0.693,0.921,1,-3.457,0,0.191,0.136,0.0,0.591,0.651,122.134,196617,4,0
Tungevaag,Wicked Wonderland,Wicked Wonderland,0zQXwzM2gtGfClqBBTsKXp,0.699,0.812,6,-5.772,0,0.135,0.00461,0.0161,0.397,0.749,127.916,217270,4,0
Fun[k]House,Freed From Desire - Radio Edit,Freed From Desire,3V3BtIfN5FwhnnaV5a6xAu,0.672,0.899,0,-4.197,1,0.0473,0.00321,1.96e-05,0.34,0.488,127.967,183089,4,0
ItaloBrothers,Boom (feat. Carlprit) - Video Edit,Boom (feat. Carlprit),0dZ5AOJd3E9SUrPeKYeMbK,0.557,0.77,11,-7.084,0,0.0397,0.0262,4.08e-06,0.119,0.342,149.964,191170,4,0
R.I.O.,Animal (feat. U-Jean) - Video Edit,Animal,79MkbP0nYwH5LG9fzwuCjZ,0.62,0.865,0,-4.697,0,0.0412,0.00929,0.0,0.453,0.555,128.037,212467,4,0
Mike Candys,Bring Back The Love - Radio Edit,Bring Back The Love,3nay4trOaT3jnPCreU5BIO,0.606,0.816,5,-3.787,1,0.0616,0.0109,5.8e-05,0.223,0.476,127.982,196293,4,0
Angus & Julia Stone,Big Jet Plane,Down The Way,2fbXJ0VpxhW7j0qcg1DnoZ,0.766,0.376,10,-8.622,0,0.0267,0.252,0.00861,0.0908,0.257,109.944,239120,4,0
MGMT,Electric Feel,Oracular Spectacular,3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3,0
Britney Spears,I Wanna Go,Femme Fatale (Deluxe Version),5cCAZS9VhLGEDV4NCfieeg,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210267,4,0
Lady Gaga,Boys Boys Boys,The Fame,33CB8obztQNidFDbO6Z1Wl,0.725,0.662,9,-5.068,1,0.0404,0.0144,0.0,0.0996,0.814,122.989,200813,4,0
Nina Simone,Feeling Good,I Put A Spell On You,61S0mEfdRtJ62Fc7fPqx0U,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,174000,4,0
Mike Candys,Sunshine (Fly So High) - 2012 Radio Mix,Sunshine (Fly so High),3lEL5rTa86urrKRRunT6Lr,0.653,0.953,5,-4.307,0,0.112,0.12,0.0139,0.137,0.46,129.055,167398,4,0
Cascada,Glorious - Video Edit,Glorious,7MLSUbB20MvCmqDgL2gCco,0.564,0.856,7,-5.075,0,0.0538,0.00314,3.74e-05,0.311,0.319,127.983,207600,4,0
Loona,Vamos a la Playa - Radio Edit,Vamos a la Playa,0ELV9UkTP2505QXAsoM0iI,0.7,0.959,9,-4.483,1,0.0499,0.103,0.0,0.404,0.877,131.005,177939,4,0
INNA,More Than Friends (feat. Daddy Yankee),Party Never Ends,3eqeE039Sa2bOSQl06F3nf,0.799,0.787,11,-5.02,1,0.0489,0.0241,0.00053,0.409,0.962,128.033,237800,4,0
DJ Antoine,Welcome To St. Tropez - DJ Antoine vs Mad Mark Radio Edit,2011 (Continous DJ-Mix),3itAdIDLIwKskzx3bRIKrx,0.77,0.771,0,-4.794,0,0.133,0.00673,0.0,0.323,0.703,124.994,194583,4,0
Sunstroke Project,Hey Mamma - Radio Edit,Hey Mamma,59JayqW5h9kyhLEcCTwPRX,0.833,0.806,10,-5.946,0,0.113,0.231,0.00944,0.0681,0.64,110.098,179625,4,0
Gary Jules,Mad World (Feat. Michael Andrews),Trading Snakeoil for Wolftickets,3JOVTQ5h8HGFnDdp4VT3MP,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,189507,4,0
Artsvik,Fly With Me,Fly With Me,1PbsliSdEPxPRqtsrKFzOR,0.579,0.803,4,-4.893,0,0.148,0.79,0.0582,0.0813,0.396,180.03,179134,4,0
The Rapture,Echoes,Echoes,5OW1Zo95O1j4gJYk7Lafbk,0.603,0.946,8,-3.369,0,0.228,0.000335,0.0604,0.0936,0.3,133.986,186520,4,0
Hozier,Arsonist's Lullabye,Hozier: Deluxe Edition,6Rcl83L6fCXbdJPSG5HAQh,0.409,0.417,6,-9.038,0,0.0356,0.588,0.0627,0.124,0.186,130.112,266613,4,0
Hozier,Work Song,Hozier,4Vc3bzFxXdrABa2DxgyCMT,0.531,0.359,10,-7.672,1,0.0619,0.749,0.0,0.112,0.254,121.249,229720,4,0
Alexander Rybak,Fairytale,Fairytale,37lYrZzmbRiEySPGkiGjXA,0.573,0.785,2,-5.362,0,0.0293,0.619,3.69e-05,0.278,0.688,108.003,182600,4,0
Pápai Joci,Origo,Origo,58erMXiJBLy1URLSXguVNw,0.596,0.733,9,-6.513,0,0.15,0.479,0.0,0.29,0.375,107.862,203889,4,0
ICEHOUSE,Great Southern Land,White Heat: 30 Hits,2qUjP7g8WY3fzBCNTELwjy,0.717,0.837,9,-5.641,1,0.0278,0.244,0.000145,0.067,0.468,120.142,317200,4,0
Crowded House,Four Seasons In One Day,The Very Very Best Of Crowded House,6ytBxmixhkR4PZ5wNS57dD,0.495,0.373,7,-12.132,1,0.0262,0.821,6.75e-05,0.0769,0.486,89.834,167657,4,0
Eurythmics,The Walk - Remastered Version,Sweet Dreams (Are Made Of This),67xHrhdRPmr0iwt9oX6RVk,0.575,0.692,8,-6.624,0,0.0571,0.0322,9.16e-06,0.112,0.277,125.191,283267,4,0
The Human League,Human - Edit,The Greatest Hits,7qm1JpihtROAIU1XpvqYHS,0.636,0.559,8,-10.313,1,0.0249,0.0562,0.000754,0.0562,0.512,101.4,228867,4,0
PNAU,Chameleon,Chameleon,4rex1k9pBVFaIVKBBssZzi,0.718,0.934,4,-3.153,1,0.0379,0.00149,0.000131,0.324,0.239,119.989,198021,4,0
Regina Spektor,You've Got Time,You've Got Time,1vDMGBzqLJWZC5UzePDURw,0.321,0.955,10,-2.749,0,0.146,0.00464,0.00897,0.269,0.331,167.467,189480,4,0
Eurythmics,Love Is A Stranger - Remastered Version,Sweet Dreams (Are Made Of This),2jItmTTkIL6SkvABXsTaYT,0.781,0.648,5,-8.216,1,0.0264,0.00761,0.0,0.132,0.546,121.93,224773,4,0
My Chemical Romance,SING,Danger Days: The True Lives of the Fabulous Killjoys,1mX6SYJ1ZpcoxQUiER8wOI,0.606,0.942,2,-3.618,1,0.0357,0.000233,7.07e-06,0.106,0.373,110.98,270387,4,0
Eurythmics,I've Got An Angel - Remastered Version,Sweet Dreams (Are Made Of This),4ptZtGRf730xEEBtmmt1dh,0.679,0.902,0,-8.395,1,0.119,0.015,0.00534,0.052,0.627,107.043,165400,4,0
BADBADNOTGOOD,Chompy's Paradise,IV,2XYKeBHVK3bN1eZmAz3xzL,0.485,0.473,3,-9.545,1,0.0312,0.5,0.948,0.127,0.115,114.341,231682,4,0
Eurythmics,Wrap It Up - Remastered Version,Sweet Dreams (Are Made Of This),478MUVateeBsNeJlUAMU6V,0.732,0.745,0,-8.111,1,0.0772,0.0218,4.35e-05,0.666,0.806,130.478,214520,4,0
Eurythmics,I Could Give You (A Mirror) - Remastered Version,Sweet Dreams (Are Made Of This),3tj2nDUnWlvmArKqzsdTDb,0.668,0.533,5,-11.124,0,0.0406,0.0142,1.07e-06,0.412,0.87,131.939,230547,4,0
